127.0.0.1 - - [14/Oct/2024:20:28:36 +0000] "GET / HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:04 +0000] "GET /ecole/faces/javax.faces.resource/core.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:04 +0000] "GET /ecole/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:04 +0000] "GET /ecole/faces/javax.faces.resource/inputmask/inputmask.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:04 +0000] "GET /ecole/faces/javax.faces.resource/calendar/calendar.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:04 +0000] "GET /ecole/faces/javax.faces.resource/calendar/calendar.css?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:04 +0000] "GET /ecole/faces/javax.faces.resource/primeicons/primeicons.woff2?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:18 +0000] "GET /ecole/faces/ajouterClasse.xhtml HTTP/1.1" 200 7873
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:18 +0000] "GET /ecole/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:18 +0000] "GET /ecole/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:18 +0000] "GET /ecole/faces/javax.faces.resource/components.css?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:18 +0000] "GET /ecole/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:18 +0000] "GET /ecole/faces/javax.faces.resource/core.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:18 +0000] "GET /ecole/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:18 +0000] "GET /ecole/faces/javax.faces.resource/components.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:18 +0000] "GET /ecole/faces/javax.faces.resource/primeicons/primeicons.woff2?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:43:31 +0000] "POST /ecole/faces/ajouterClasse.xhtml HTTP/1.1" 200 222
