127.0.0.1 - - [26/Oct/2024:10:58:59 +0000] "GET / HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:02 +0000] "GET /ecole/faces/acceuil.xhtml HTTP/1.1" 200 10454
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:02 +0000] "GET /ecole/faces/javax.faces.resource/primeicons/primeicons.css;jsessionid=8B29A7774FBADE4725F2F4A2E52EF56B?ln=primefaces&v=13.0.4 HTTP/1.1" 200 11181
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:02 +0000] "GET /ecole/faces/javax.faces.resource/core.js;jsessionid=8B29A7774FBADE4725F2F4A2E52EF56B?ln=primefaces&v=13.0.4 HTTP/1.1" 200 57852
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:02 +0000] "GET /ecole/faces/javax.faces.resource/jquery/jquery.js;jsessionid=8B29A7774FBADE4725F2F4A2E52EF56B?ln=primefaces&v=13.0.4 HTTP/1.1" 200 87555
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:02 +0000] "GET /ecole/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=8B29A7774FBADE4725F2F4A2E52EF56B?ln=primefaces&v=13.0.4 HTTP/1.1" 200 146776
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:02 +0000] "GET /ecole/faces/javax.faces.resource/components.js;jsessionid=8B29A7774FBADE4725F2F4A2E52EF56B?ln=primefaces&v=13.0.4 HTTP/1.1" 200 497950
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:02 +0000] "GET /ecole/faces/javax.faces.resource/theme.css;jsessionid=8B29A7774FBADE4725F2F4A2E52EF56B?ln=primefaces-saga&v=13.0.4 HTTP/1.1" 200 199400
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:02 +0000] "GET /ecole/faces/javax.faces.resource/components.css;jsessionid=8B29A7774FBADE4725F2F4A2E52EF56B?ln=primefaces&v=13.0.4 HTTP/1.1" 200 109152
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:02 +0000] "GET /ecole/faces/javax.faces.resource/primeicons/primeicons.woff2?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:02 +0000] "GET /favicon.ico HTTP/1.1" 404 693
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:27 +0000] "POST /ecole/faces/acceuil.xhtml;jsessionid=8B29A7774FBADE4725F2F4A2E52EF56B HTTP/1.1" 200 7272
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:27 +0000] "GET /ecole/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:27 +0000] "GET /ecole/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:27 +0000] "GET /ecole/faces/javax.faces.resource/components.css?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:27 +0000] "GET /ecole/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:27 +0000] "GET /ecole/faces/javax.faces.resource/core.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:27 +0000] "GET /ecole/faces/javax.faces.resource/components.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:27 +0000] "GET /ecole/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:27 +0000] "GET /ecole/faces/javax.faces.resource/touch/touchswipe.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:36 +0000] "GET /ecole/faces/adminPortal.xhtml HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:36 +0000] "GET /ecole/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:36 +0000] "GET /ecole/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:38 +0000] "POST /ecole/faces/adminPortal.xhtml HTTP/1.1" 200 6536
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:38 +0000] "GET /ecole/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:38 +0000] "GET /ecole/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:38 +0000] "GET /ecole/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:38 +0000] "GET /ecole/faces/javax.faces.resource/components.css?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:38 +0000] "GET /ecole/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:38 +0000] "GET /ecole/faces/javax.faces.resource/core.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:38 +0000] "GET /ecole/faces/javax.faces.resource/components.js?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:39 +0000] "GET /ecole/faces/javax.faces.resource/primeicons/primeicons.woff2?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:44 +0000] "GET /ecole/faces/adminPortal.xhtml HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:46 +0000] "POST /ecole/faces/adminPortal.xhtml HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [26/Oct/2024:10:59:46 +0000] "GET /ecole/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=13.0.4 HTTP/1.1" 304 -
